Time,HR (bpm),Speed (km/h),Pace (min/km),Distances (m)
0 days 00:03:26,124,2.1,28:09,56.08
0 days 00:03:27,123,2.0,29:27,56.84
0 days 00:03:28,122,1.4,44:11,57.6
0 days 00:03:29,119,0.9,66:17,58.36
0 days 00:03:30,117,0.6,99:25,59.13
0 days 00:03:31,116,0.8,79:54,59.89
0 days 00:03:32,111,0.5,119:51,60.65
0 days 00:03:33,107,0.3,179:48,61.41
0 days 00:03:34,106,0.2,269:40,62.18
0 days 00:03:35,106,0.2,334:16,62.94
0 days 00:03:36,103,0.1,501:15,63.7
0 days 00:03:37,101,0.1,00:00,64.46
0 days 00:03:38,100,0.1,00:00,65.23
0 days 00:03:39,99,0.1,472:49,65.99
0 days 00:03:40,99,0.1,00:00,66.75
0 days 00:03:41,99,0.1,524:56,67.51
0 days 00:03:42,100,0.1,591:08,68.28
0 days 00:03:43,101,0.4,150:59,68.88
0 days 00:03:44,101,0.4,134:48,69.64
0 days 00:03:45,101,0.4,146:53,70.4
0 days 00:03:46,100,0.3,191:56,71.14
0 days 00:03:47,100,0.2,287:54,71.36
0 days 00:03:48,99,0.2,314:18,71.45
0 days 00:03:49,98,0.1,471:20,71.7
0 days 00:03:50,97,0.1,00:00,71.7
0 days 00:03:51,96,0.2,246:37,71.85
0 days 00:03:52,93,0.3,204:51,72.01
0 days 00:03:53,91,0.2,307:23,72.09
0 days 00:03:54,91,0.1,460:50,72.23
0 days 00:03:55,88,0.2,353:21,72.25
0 days 00:03:56,88,0.2,288:36,72.34
0 days 00:03:57,87,0.2,273:13,72.51
0 days 00:03:58,88,0.3,181:33,72.77
0 days 00:03:59,88,0.2,272:14,73.01
0 days 00:04:00,87,0.1,408:26,73.01
0 days 00:04:01,84,0.1,00:00,73.3
0 days 00:04:02,83,0.1,00:00,73.3
0 days 00:04:03,83,0.0,00:00,73.3
0 days 00:04:04,79,0.0,00:00,73.3
0 days 00:04:05,73,0.0,00:00,73.3
0 days 00:04:06,72,0.0,00:00,73.3
0 days 00:04:07,72,0.0,00:00,74.06
0 days 00:04:08,71,0.1,432:35,74.41
0 days 00:04:09,67,0.1,00:00,74.47
0 days 00:04:10,66,0.1,00:00,74.47
0 days 00:04:11,66,0.0,00:00,74.47
0 days 00:04:12,65,0.0,00:00,74.47
0 days 00:04:13,66,0.0,00:00,74.47
0 days 00:04:14,66,0.0,00:00,74.47
0 days 00:04:15,67,0.0,00:00,75.12
0 days 00:04:16,67,0.1,489:00,75.54
0 days 00:04:17,66,0.1,00:00,75.58
0 days 00:04:18,66,0.1,497:06,75.99
0 days 00:04:19,66,0.2,241:21,76.17
0 days 00:04:20,67,0.4,168:13,76.22
0 days 00:04:21,68,0.4,160:10,76.26
0 days 00:04:22,68,0.2,240:17,76.31
0 days 00:04:23,68,0.2,360:22,76.61
0 days 00:04:24,69,0.2,288:36,76.75
0 days 00:04:25,69,0.1,432:54,76.97
0 days 00:04:26,69,0.1,00:00,76.97
0 days 00:04:27,69,0.1,00:00,76.97
0 days 00:04:28,69,0.0,00:00,76.97
0 days 00:04:29,69,0.0,00:00,76.97
0 days 00:04:30,70,0.0,00:00,76.97
0 days 00:04:31,70,0.0,00:00,76.97
0 days 00:04:32,70,0.1,539:05,77.65
0 days 00:04:33,70,0.1,00:00,77.69
0 days 00:04:34,69,0.0,00:00,77.69
0 days 00:04:35,69,0.0,00:00,77.69
0 days 00:04:36,69,0.0,00:00,77.69
0 days 00:04:37,69,0.0,00:00,77.69
0 days 00:04:38,68,0.0,00:00,77.69
0 days 00:04:39,68,0.0,00:00,77.69
0 days 00:04:40,68,0.0,00:00,77.69
0 days 00:04:41,68,0.0,00:00,78.42
0 days 00:04:42,68,0.0,00:00,78.42
0 days 00:04:43,67,0.0,00:00,78.42
0 days 00:04:44,67,0.0,00:00,78.42
0 days 00:04:45,67,0.0,00:00,78.42
0 days 00:04:46,66,0.0,00:00,78.42
0 days 00:04:47,66,0.0,00:00,78.42
0 days 00:04:48,66,0.0,00:00,78.42
0 days 00:04:49,66,0.0,00:00,78.42
0 days 00:04:50,66,0.0,00:00,78.42
0 days 00:04:51,66,0.0,00:00,78.42
0 days 00:04:52,66,0.1,00:00,78.85
0 days 00:04:53,66,0.1,00:00,78.88
0 days 00:04:54,67,0.0,00:00,78.88
0 days 00:04:55,68,0.0,00:00,78.88
0 days 00:04:56,69,0.2,368:33,78.97
0 days 00:04:57,68,0.1,553:00,79.02
0 days 00:04:58,67,0.1,00:00,79.02
0 days 00:04:59,67,0.0,00:00,79.02
0 days 00:05:00,66,0.0,00:00,79.02
0 days 00:05:01,69,0.0,00:00,79.02
0 days 00:05:02,70,0.0,00:00,79.02
0 days 00:05:03,70,0.0,00:00,79.02
0 days 00:05:04,71,0.0,00:00,79.02
0 days 00:05:05,72,0.0,00:00,79.02
0 days 00:05:06,72,0.0,00:00,79.02
0 days 00:05:07,74,0.0,00:00,79.02
0 days 00:05:08,75,0.0,00:00,79.02
0 days 00:05:09,75,0.0,00:00,79.02
0 days 00:05:10,77,0.0,00:00,79.02
0 days 00:05:11,77,0.0,00:00,79.02
0 days 00:05:12,77,0.0,00:00,79.02
0 days 00:05:13,79,0.0,00:00,79.02
0 days 00:05:14,79,0.0,00:00,79.02
0 days 00:05:15,80,0.0,00:00,79.02
0 days 00:05:16,81,0.1,458:22,79.64
0 days 00:05:17,81,0.1,423:44,79.7
0 days 00:05:18,80,0.2,255:58,79.91
0 days 00:05:19,80,0.3,216:32,79.93
0 days 00:05:20,81,0.2,324:51,79.97
0 days 00:05:21,82,0.1,487:25,79.97
